S.no.,Team,Project ,Location,Awarded ,Amount,Project date ,Allocated person,Organisation ,Status
93,Team A,4L Access Controlled Greenfield Highway section on NH-163G (Khammam– Vijayawada) from Remidicherla village at Design Ch. 280.200 Km to Jakkampudi village (on NH-16) at Design Ch. 309.909 Km (Package-III),Andhra Pradesh,Megha Engineering and Infrastructure Ltd.,Big as greenfield project  (to be researched),07-05-2025,Rishabh,NHAI,Contacted
94,Team A,"6L Greenfield Varanasi-Ranchi-Kolkata Highway from Pachmon village to Anarbansalea village (From KM. 116+000 to
 KM. 151+200) (Package-6)",Bihar,Varanasi Kolkata Highway Package 6 PVT LTD,Big as greenfield project  (to be researched),04-09-2025,Rishabh,NHAI,Contacted
95,Team A,"6L Greenfield Varanasi-Ranchi-Kolkata Highway from junction with Chandauli- Chainpur Road near Khainti village to junction with Bhabhua-Adhaura road near Palka village (from Km. 27.000 to Km.
 54.000) (Pkg-2)",Bihar,PNC Infratech Pvt. Ltd.,Big as greenfield project  (to be researched),06-10-2025,Rishabh,NHAI,Contacted
96,Team A,"6L Greenfield Varanasi-Ranchi-Kolkata Highway from junction with Bhabhua- Adhaura road in Bhairopur village to Konki village (From KM. 54.000 to KM.
 90.000)(Pkg-3)",Bihar,PNC Infratech Pvt. Ltd.,Big as greenfield project  (to be researched),06-10-2025,Rishabh,NHAI,Contacted
97,Team A,"4L Greenfield Alignment of Amas to
 Shivrampur from 0.000 Km. to 55.002 Km. of NH 119 D (Pkg-I)",Bihar,Megha Engineering and Infrastructure Ltd.,Big as greenfield project  (to be researched),31-03-2023,Rishabh,NHAI,Contacted
98,Team A,"4L Greenfield Alignment of Shivrampur to Ramnagar from Km. 55.002 to Km. 109.300
 of NH 119 D (Pkg-II)",Bihar,Megha Engineering and Infrastructure Ltd.,Big as greenfield project  (to be researched),04-07-2023,Rishabh,NHAI,Contacted
99,Team A,4L Greenfield Alignment from Kalyanapur to Tal Dashraha of NH-119D (Pkg-III),Bihar,Megha Engineering and Infrastructure Ltd.,Big as greenfield project  (to be researched),16-02-2023,Rishabh,NHAI,Contacted
100,Team A,"Delhi-Vadodara Greenfield Alignment (NH- 148N) (Pkg-30) (Ch 803+420 to Ch.824+920)
 [Baletiya Village - Junction near Pratap
 Nagar Village]",Gujarat,Patel Infrastructure Limited,Big as greenfield project  (to be researched),08-09-2021,Rishabh,NHAI,Contacted
101,Team A,"Delhi-Vadodara Greenfield Alignment (NH- 148N) (Pkg-31) (Ch.824+920 to Ch.844+382)
 [Junction near Pratap nagar Village -
 Junction near Dodka Village]",Gujarat,PNC Infratech Pvt. Ltd.,Big as greenfield project  (to be researched),18-05-2021,Rishabh,NHAI,Contacted
102,Team A,"Construction of Greenfield Connectivity to Jewar International Airport from DND- Faridabad-Ballabhgarh Bypass KMP Link -
 Spur to Delhi Mumbai Expressway",Haryana,APCO Infratech Pvt. Ltd.,Big as greenfield project  (to be researched),22-06-2023,Rishabh,NHAI,Contacted
103,Team A,6L access Controlled Greenfield Highway from Adhoya Musalmana to Sadopur section of Shamli -Ambala (Package-III) (Design Ch. Form km 84.400 to km 121.786),Haryana,Montecarlo Limited,Big as greenfield project  (to be researched),03-05-2023,Rishabh,NHAI,Contacted
104,Team A,6L access Controlled Greenfield Highway from Ranipur Barsi to Adhoya Musalmana section of Shamli -Ambala (Package-II) (Design Ch. Form km 45.500 to km 84.400),Haryana,APCO Infratech Pvt. Ltd.,Big as greenfield project  (to be researched),17-05-2023,Rishabh,NHAI,Contacted
105,Team A,"Akkalkot – MH/KN border New Greenfield corridor from Km 512.000 to Km 548.400 of NH-150C (part of Akkalkot – KN/TS Border
 section) (Package – XIV)",Maharashtra,G R Infraprojects Limited,Big as greenfield project  (to be researched),03-10-2024,Rishabh,NHAI,Contacted
106,Team A,Greenfield connectivity from Govindsar village on Delhi Amritsar Katra Expressway to Talwara village on NH-44 (Pathankot by- pass),Punjab,New India Contractors and Developers Pvt. Ltd. – Khanday Infrastructure Private Limited (JV),Big as greenfield project  (to be researched),16-07-2025,Rishabh,NHAI,Contacted
107,Team A,"6L Amritsar-Bathinda Greenfield section from village Tiba on NE-5A to Jn. with Moga Jalandhar road (NH-703) near Dharamkot from km 0.000 to km 39.000 of NH-754A
 (Pkg-1)",Punjab,G R Infraprojects Limited,Big as greenfield project  (to be researched),14-11-2022,Rishabh,NHAI,Contacted
108,Team A,"6L Access Controlled Ludhiana-Bathinda Greenfield highway from Jn. with Moga- Barnala Road (NH-703) near village Tallewal to Jn. with Delhi-Katra Expressway (NE-5) near Ludhiana (village Ballowal) from Km
 30.300 to Km 75.543 of NH-754AD (Pkg-2)",Punjab,Ceigall India Ltd.,Big as greenfield project  (to be researched),29-09-2025,Rishabh,NHAI,Contacted
109,Team A,"4L Greenfield (a) Malout bypass from ch. Km
 44.500 to ch. Km 35.500 on NH-07 and Ch. Km 0.000 to Km 6.984 on NH-09 (b)Mandi Dabwali Bypass from Ch. 38.450 Km to Km
 27.910 (Pkg-02)",Punjab,Gawar Construction Ltd,Big as greenfield project  (to be researched),31-12-2022,Rishabh,NHAI,Contacted
110,Team A,"4/6L Greenfield Ludhiana–Rupnagar highway from Jn. with NE-5 village near to Manewal(Ludhiana) to Jn. with NH-205 near Bheora Village (Rupnagar) from Km 66.0 to Km 91.0 i/c spur to Kharar from Km 0.0 to Km 19.5 with Ludhiana bypass of NH-205K
 (Pkg-3)",Punjab,IRCON International Limited,Big as greenfield project  (to be researched),06-02-2023,Rishabh,NHAI,
111,Team A,"Securing of ROW for Construction of four/six lane Greenfield Ludhiana – Rupnagar National Highway no. NH-205K from junction with NE-5 village near to Manewal (Ludhiana) to junction with NH-205 near Bheora Village (Rupnagar) including spur to Kharar with Ludhiana bypass under Bharatmala Pariyojana in the State of Punjab on Hybrid Annuity Mode, Package-2 (Design Ch. 37.700 to Design Ch. 66.7) and On Spur from km (0.000 to km 18.500)",Punjab,Dhariwal Buildtech Limited,Big as greenfield project  (to be researched),10-07-2025,Rishabh,NHAI,Contacted
112,Team A,"4L of Fazilka to Abohar section of NH-07
 including construction of Greenfield Abohar & Fazilka Bypasses",Punjab,Gawar Construction Ltd,Big as greenfield project  (to be researched),13-04-2024,Rishabh,NHAI,Contacted
113,Team A,"Delhi-Vadodara Greenfield Alignment (NH- 148N) (Pkg-15) (Ch. 419.000 to Ch.427.300)
 [Junction with NH-12 near village Ummedpura to Major bridge over Takli river near Nayagaon Jageer village]",Rajasthan,Dilip Buildcon Limited - Altis - Holding Corporation (DBL AHC JV),Big as greenfield project  (to be researched),05-07-2021,Rishabh,NHAI,Contacted
114,Team A,6L Access Controlled Greenfield Highway of Nandinne village to Julekal village from Km 202.900 to Km 242.200 (Pkg-1),Hyderabad/Telangana,Megha Engineering and Infrastructure Ltd.,Big as greenfield project  (to be researched),04-01-2023,Rishabh,NHAI,
115,Team A,6L Access Controlled Greenfield Highway of Julekal village to Dinnedevarapadu village from Km 242.200 to Km 280.400 (Pkg-2),Hyderabad/Telangana,Megha Engineering and Infrastructure Ltd.,Big as greenfield project  (to be researched),04-01-2023,Rishabh,NHAI,Contacted
116,Team A,4L Access Controlled Greenfield Highway Section (Mancherial – Warangal) from Pangidipalle village at Design Ch. 72.350 Km to Oorugonda village at Design Ch. 112.240 Km(Package-III),Hyderabad/Telangana,Megha Engineering and Infrastructure Ltd.,Big as greenfield project  (to be researched),13-06-2025,Rishabh,NHAI,
117,Team A,"4L Access Controlled Greenfield Section (Mancherial – Warangal) from Puttapaka village at Design Ch. 35.300 Km to Pangidipalle village at Design Ch. 72.350
 KmPackage-II)",Hyderabad/Telangana,Megha Engineering and Infrastructure Ltd.,Big as greenfield project  (to be researched),13-06-2025,Rishabh,NHAI,
118,Team A,4L Access Controlled Greenfield Section (Mancherial – Warangal) from Narva village at Design Ch. 3.834 Km to Puttapaka village at Design Ch. 35.300 Km (Package-I),Hyderabad/Telangana,Megha Engineering and Infrastructure Ltd.,Big as greenfield project  (to be researched),23-12-2024,Rishabh,NHAI,
